City_ID,City_Name,Locality_ID,Locality_Name,Concatenate,File_Locality_Name,Script
2,Bangalore,,,BangaloreK.G Govindapura,K.G Govindapura,s}~oAwxhxMcx@yhAi@kAqQbHaSjWmIzViKbL{AxFtx@FuAaItbAtF
2,Bangalore,,,BangaloreThammenahalli village,Thammenahalli village,uawnAyj`xMsa@fW`@bSGnH?|BUpKIh@T~@|@~ACtAaCfPmBj]cM~j@wD\\iC]_Bh@mC?oBT_Go@qh@mBuDuAp@mEzAgDpAa@dBmCoFgBp@yCyAa@xLkDhGNTuEV}FkCqMc@iMf@sNeHJmDuDu@aE{AaDfq@{n@jVmStEfFxCjBtBF`FqApCcAnBBtWjB
2,Bangalore,,,BangaloreSinganayakanahalli,Singanayakanahalli,aheoAw_lxMo@bWwQaGP`DRfGdEtCvA{@vA_C`EgCd@}V|Ifd@_Mbe@eVbj@kv@wU}BYnEa|Az@yFzMtA~x@z@lCj@
2,Bangalore,,,BangaloreRamagondanahalli,Ramagondanahalli,y{_oAcqjxMu@rIRdBkEd]iQrZqC\\oP?sDsB{BYo[dCgJJiOw@v^k_AzD}[zg@pPza@xC
2,Bangalore,,,BangaloreKempanahalli,Kempanahalli,ag_oAelkxMcHbF{JzQm@fLx@fBuFh[dOnBxNbC|EiKxI}\\wMuI
2,Bangalore,,,BangaloreVeerasagara,Veerasagara,g}~nAwhixMeFvI}Bv@_@vXvA|At[hGvAsItTaKpBie@sIwBwVeN
2,Bangalore,,,BangaloreGuniagrahara,Guniagrahara,is{nAgqexMfExNX`a@~Ad_@x@tL}@~RqCfFw^{N_JsHsGiT?mEvJgQfPwe@BcL
2,Bangalore,,,BangaloreHemmigepura,Hemmigepura,oxsmAor_xM[nAg@|Cw@jAsFnM}EhLm@jAsAxEwCrNm@bCqClC}A|BoBvE`G~@lNfBxEZnOxN~IvOr^tQvIs_@l@kBq@cAx@cCbGfCvDcAtCiGjDNG}AgR]ub@ep@
2,Bangalore,50265,,BangaloreBanashankari 6th Stage,Banashankari 6th Stage,aormAacaxMdQdGgEnKfDxAtA~Du@lA{DkBO|GfFv@bAfFyCtOGlAcLb@hAgJaA}@rAwCgKuFaHtJkLwQbI_JbHcH~AuBbBgBlB_F
2,Bangalore,#N/A,,BangaloreAndrahalli,Andrahalli,sqlnAal|wMeCdQm@jIoA|Nv^vDrO|BdC_UnEkZbAkB`AeBdCyJl@aEd@}JuFz@yBdC{DtCqCjA}C`BiC`CeAjBgAdCy@Jk@d@}@fB}C]aDEiJQBR
2,Bangalore,,,BangaloreTippenahalli,Tippenahalli,_zmnAmp|wMyAvGv@H]bGm@tOLzMmMnA{KRqc@F{Lg@~A_U|AeOHoDBsE|Jb@p@mL`D_WdCyYhEvTlGpR`ExJdGvBzI~@hItAl@^
2,Bangalore,,,BangaloreMadanayakahalli,Madanayakahalli,mbvnA{pvwMjB?r^y]fm@wThRsDh@qo@{mAXuZpC{ReP_Pn_@vUhKqLdn@j_@pY
2,Bangalore,,,BangaloreKachohalli,Kachohalli,aejnAmoywMyF{@cJuKxCuJfMoHdN^xKvA}BhReWtK
2,Bangalore,,,BangaloreChokkasandra,Chokkasandra,uvomAkcmyMcAnFd@hARbJ~@~@F~MKjQh@jB?tCQxCd@xAXdCe@RsI}AqIF{CHOlV]vMm@lAc@nDC~@mBz@oGs@gV{VyKcL?}C`AaRbBcJfJyWdBeGjBeGFeEG_LtEz@nKG`KlAbHl@tJdC
2,Bangalore,,,BangaloreGulimangala,Gulimangala,efimAmngyMeWvZoEtE_B`@FxLsApPmKxo@eZmRaTuNu@oDeIoFcJ{IqBuAaG_AkAuA{DuLa@eD_@mE}E}FoJqGgJmHcMaDQgF|EGxB?rAoBzBgDrAwF`EeItCqCjBqCtB{@bBs@tBQvJbBp@I`FDfB|AvAMhIjDnItH~AhPm@hRfEeAhHz@tEa@|HFbEXfDT`Ad@lEm@nBbArG_C|J`@|CJ
2,Bangalore,,,BangaloreHuskur,Huskur,sbnmAe{hyMmC~CeCtFq@fASlA]xBmA~AqApCoA`AyAFaDBc@LYb@oJBgAFyA`AeCf@sD\\oFdBmEfBIFB_BUUj@oGD}@Pw@CYGWHk@Zc@t@u@^a@n@]j@k@VwAUmAJ[rAiANCOc@OWc@g@sAaAgDaEeKkD_@?QY?m@EgB\\g@p@]\\iC`@_BPEZ_EJ{JToUrIKnD?~HvAp@UjIj@bCZCz@@T`B`@|ALrDA?zFp@~@jAhAwApE?|Ct@lErA|F|Bj@z@`@NTCh@GVIZCTLRV?~AAdAA]rCQ`A?d@PX
2,Bangalore,,,BangaloreHurlagurki,Hurlagurki,k|npA{ubyM~~Aen@e\\yv@glApaA
2,Bangalore,,,BangaloreHeelalige,Heelalige,w_hmA_sfyMzk@oJhHd@pJeQyDbH{DfH]aA[EIWAwBJg@qAKc@y@n@gAhBwB`@ItAg@NONe@fAe@`AE^{@|@NTPDj@M|@tByDTyA?iDEk@f@?l@LRRrYI`CsEt@e@xBT?qAm@}CcD_HcBkBqCwFm@_AiBgBmAi@kF_BsEmEyBsBkBn@oABq@w@McC}Cw@{RpWqKo@i@rVuIlCgDfAq@zQa@nGSrBU|AK|CGdACfAoAfBQlB
2,Bangalore,,,BangaloreMuthanallur,Muthanallur,q}imA}vmyMnA|Ib@v@|[viAbGvJdJjBnI`@bBi@dFQ`IoOtB{Q~MzOfCuAg@{CqFuAaFqIwCaA}BPoB^uAx@y@l@a@EcCjBi@O{@sBiA_BU{@uCcBrBcErBiJHqGgAsFkB_D{B{B{BkE{DkIaBm@k@k@kBa@{CT{BQiAk@F_@~AMjDgDrFzAfEpGvIjL`FxDfG|BxBtAbCP~BObEF`Aa@BeDf@Yl@Tv@lJ]xHlA~CnCnAbDrIhBnC~GbCzClDrCxFa`@m}@qv@s[uHgB{JsAkLz@}FrD{@vFT`C
2,Bangalore,,,BangaloreHullahalli,Hullahalli,yjhmAenwxMoDPa\\tAz@bHeHfJoE|^VdXtHzKhK`VzGdIz^uAbQov@vTyHyEoBoD^qH~@wA^o@?wCtAsDyAq@JAs@c@a@{@FcAcBR}@`B]`Ef@|@[Zk@VcB`Aq@jABnAIzA{AlDWx@_@fHs@b@a@b@H~AEDhAmAP_@LSl@]rDEnATlBrArChG{Ahs@}UhF_JoUgJkcB_J
2,Bangalore,,,BangaloreSanjeevini Nagar,Sanjeevini Nagar,mdinAml`xMu@fFsDi@eAhGsAfCqAhBq@fA_AqCo@N}Ck@oBy@oCgBcC}AWUk@Wq@fBWt@k@rAoEqAoFu@qCUDgCv@{IiB]d@gDbCThC~@XHjAt@|@HbABrAKlAWf@W~@F~BPlEt@jH^dBRVDp@RnFVpCP
2,Bangalore,,,BangaloreMylasandra,Mylasandra,wcomAirwxMnAYx@`@hOgAxALRPFhAAjAFX~Ed@hAeAVoAI}A_@gA|h@\\TxM?`Ah@hEl@?D|DrDpUkAbAIrA_Fx\\eF?cEKiFc@eF{@u@WUgF{AkIwD}J}CcGoI_MwGsJwJqN
